Entity;Continent;Latitude;Longitude;Average temperature per year;Hospital beds per 1000 people;Medical doctors per 1000 people;GDP/Capita;Population;Median age;Population aged 65 and over (%);Date;Daily tests;Cases;Deaths;Daily Cases
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-02-25;8;;;
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-02-26;5;;;0
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-02-27;4;;;0
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-02-28;1;;;0
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-02-29;8;;;0
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-01;3;;;0
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-02;2;;;0
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-03;5;;;0
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-04;6;;;0
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-05;8;;;0
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-06;3;;;0
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-07;5;;;0
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-08;1;;;0
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-09;18;2;;2
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-10;37;10;;8
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-11;43;12;1;2
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-12;141;23;1;11
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-13;159;33;1;10
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-14;48;38;1;5
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-15;27;42;1;4
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-16;31;51;1;9
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-17;42;55;1;4
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-18;60;59;2;4
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-19;32;64;2;5
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-20;35;70;2;6
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-21;46;76;2;6
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-22;33;89;2;13
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-23;;104;4;15
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-24;;123;5;19
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-25;111;146;5;23
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-26;103;174;6;28
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-27;102;186;8;12
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-28;79;197;10;11
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-29;111;212;10;15
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-30;90;223;11;11
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-03-31;145;243;15;20
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-01;152;259;15;16
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-02;96;277;16;18
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-03;112;304;17;27
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-04;216;333;20;29
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-05;149;361;20;28
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-06;175;377;21;16
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-07;182;383;22;6
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-08;236;400;22;17
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-09;234;409;23;9
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-10;162;416;23;7
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-11;259;433;23;17
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-12;233;446;23;13
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-13;193;467;23;21
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-14;236;475;24;8
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-15;252;494;25;19
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-16;269;518;26;24
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-17;253;539;26;21
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-18;231;548;26;9
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-19;231;562;26;14
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-20;233;584;26;22
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-21;242;609;26;25
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-22;252;634;27;25
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-23;240;663;27;29
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-24;259;678;27;15
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-25;247;712;27;34
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-26;264;726;28;14
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-27;212;736;28;10
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-28;267;750;30;14
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-29;270;766;30;16
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-04-30;225;773;31;7
Albania;Europe;41,15;20,17;14;2,89;1,29;5353,2;2873457;38;14;2020-05-01;245;782;31;9
